Week of,Natural Gas Futures Contract 1 $/MMBTU
10/22/2021,5.128
10/15/2021,5.548
10/8/2021,5.799
10/1/2021,5.702
09/24/2021,4.942
09/17/2021,5.278
09/10/2021,4.863
09/3/2021,4.53
08/27/2021,4.058
08/20/2021,3.863
08/13/2021,4
08/6/2021,4.08
07/30/2021,4.018
07/23/2021,3.935
07/16/2021,3.679
07/9/2021,3.649
07/2/2021,3.652
06/25/2021,3.339
06/18/2021,3.262
06/11/2021,3.154
06/4/2021,3.079
05/28/2021,2.945
