iter	Passed	Remaining
416	3542	4952
417	3550	4943
418	3557	4932
419	3566	4925
420	3573	4914
421	3580	4904
422	3586	4892
423	3593	4881
424	3600	4871
425	3606	4860
426	3616	4852
427	3621	4840
428	3629	4831
429	3635	4818
430	3640	4806
431	3646	4794
432	3654	4784
433	3660	4773
434	3667	4763
435	3673	4751
436	3681	4742
437	3686	4730
438	3691	4717
439	3699	4708
440	3705	4696
441	3713	4687
442	3719	4676
443	3725	4664
444	3731	4654
445	3737	4642
446	3743	4630
447	3751	4622
448	3759	4613
449	3766	4603
450	3771	4591
451	3784	4587
452	3791	4578
453	3798	4567
454	3804	4556
455	3812	4548
456	3817	4536
457	3824	4526
458	3831	4515
459	3838	4505
460	3846	4496
461	3851	4485
462	3859	4475
463	3865	4464
464	3870	4453
465	3877	4443
466	3884	4433
467	3890	4422
468	3897	4412
469	3902	4400
470	3909	4390
471	3915	4380
472	3922	4370
473	3929	4360
474	3936	4350
475	3944	4342
476	3949	4330
477	3955	4320
478	3963	4310
479	3969	4299
480	3976	4290
481	3981	4279
482	3988	4268
483	3995	4259
484	4001	4249
485	4008	4239
486	4014	4229
487	4024	4222
488	4031	4213
489	4037	4202
490	4044	4192
491	4051	4183
492	4059	4174
493	4066	4164
494	4074	4156
495	4079	4145
496	4087	4136
497	4094	4127
498	4111	4127
499	4124	4124
500	4132	4116
501	4142	4109
502	4150	4101
503	4158	4092
504	4166	4084
505	4174	4075
506	4181	4066
507	4189	4057
508	4195	4047
509	4204	4040
510	4211	4030
511	4222	4024
512	4234	4019
513	4240	4009
514	4247	4000
515	4255	3991
516	4262	3981
517	4271	3974
518	4277	3964
519	4286	3956
520	4292	3946
521	4300	3938
522	4307	3928
523	4314	3919
524	4324	3912
525	4336	3908
526	4347	3902
527	4356	3894
528	4364	3886
529	4373	3878
530	4384	3872
531	4393	3864
532	4405	3860
533	4415	3853
534	4422	3843
535	4429	3834
536	4438	3826
537	4445	3817
538	4453	3808
539	4460	3799
540	4468	3790
541	4474	3781
542	4502	3789
543	4513	3783
544	4521	3774
545	4531	3767
546	4538	3758
547	4549	3752
548	4555	3742
549	4565	3735
550	4572	3726
551	4583	3720
552	4591	3711
553	4600	3703
554	4611	3697
555	4621	3690
556	4630	3682
557	4638	3674
558	4647	3666
559	4653	3656
560	4661	3647
561	4668	3638
562	4675	3629
563	4683	3620
564	4694	3614
565	4705	3608
566	4715	3600
567	4722	3592
568	4747	3596
569	4755	3587
570	4763	3578
571	4769	3569
572	4779	3561
573	4789	3554
574	4797	3546
575	4807	3539
576	4817	3531
577	4826	3523
578	4833	3514
579	4841	3506
580	4848	3496
581	4858	3489
582	4864	3479
583	4873	3471
584	4880	3462
585	4887	3452
586	4895	3444
587	4901	3434
588	4909	3425
589	4915	3416
590	4925	3408
591	4932	3399
592	4941	3391
593	4948	3382
594	4956	3373
595	4963	3364
596	4973	3357
597	4980	3348
598	4989	3340
599	4997	3331
600	5007	3324
601	5018	3317
602	5028	3310
603	5076	3328
604	5120	3343
605	5131	3336
606	5140	3328
607	5165	3330
608	5174	3321
609	5185	3315
610	5193	3306
611	5204	3299
612	5213	3291
613	5222	3283
614	5229	3273
615	5238	3265
616	5245	3256
617	5253	3247
618	5260	3237
619	5267	3228
620	5274	3218
621	5283	3210
622	5289	3200
623	5295	3191
624	5302	3181
625	5309	3172
626	5316	3162
627	5323	3153
628	5332	3145
629	5339	3135
630	5347	3127
631	5354	3117
632	5362	3109
633	5369	3099
634	5379	3092
635	5388	3083
636	5394	3074
637	5403	3066
638	5411	3057
639	5418	3047
640	5426	3039
641	5433	3029
642	5440	3020
643	5448	3011
644	5454	3002
645	5462	2993
646	5469	2983
647	5477	2975
648	5484	2966
649	5492	2957
650	5499	2948
651	5506	2939
652	5514	2930
653	5521	2920
654	5528	2911
655	5533	2901
656	5540	2892
657	5546	2883
658	5567	2880
659	5575	2872
660	5581	2862
661	5588	2853
662	5595	2843
663	5600	2834
664	5608	2825
665	5614	2815
666	5621	2806
667	5629	2797
668	5635	2788
669	5642	2779
670	5648	2769
671	5656	2760
672	5662	2751
673	5669	2742
674	5676	2733
675	5683	2723
676	5691	2715
677	5698	2706
678	5706	2697
679	5715	2689
680	5724	2681
681	5731	2672
682	5739	2663
683	5745	2654
684	5754	2646
685	5761	2637
686	5768	2627
687	5777	2619
688	5785	2611
689	5793	2602
690	5801	2594
691	5814	2587
692	5821	2579
693	5827	2569
694	5835	2560
695	5841	2551
696	5848	2542
697	5857	2534
698	5865	2525
699	5873	2517
700	5881	2508
701	5907	2507
702	5918	2500
703	5930	2493
704	5939	2485
705	5946	2476
706	5954	2467
707	5962	2459
708	5972	2451
709	5979	2442
710	5987	2433
711	5995	2424
712	6003	2416
713	6011	2408
714	6020	2399
715	6027	2390
716	6036	2382
717	6043	2373
718	6051	2365
719	6057	2355
720	6066	2347
721	6073	2338
722	6081	2329
723	6089	2321
724	6098	2313
725	6104	2304
726	6112	2295
727	6118	2286
728	6126	2277
729	6133	2268
730	6139	2259
731	6147	2250
732	6153	2241
733	6161	2232
734	6166	2223
735	6173	2214
736	6180	2205
737	6187	2196
738	6196	2188
739	6202	2179
740	6209	2170
741	6216	2161
742	6222	2152
743	6228	2143
744	6235	2134
745	6242	2125
746	6248	2116
747	6255	2107
748	6261	2098
749	6268	2089
750	6275	2080
751	6281	2071
752	6289	2062
753	6295	2054
754	6301	2044
755	6308	2036
756	6314	2027
757	6320	2017
758	6328	2009
759	6334	2000
760	6341	1991
761	6348	1982
762	6357	1974
763	6367	1966
764	6375	1958
765	6393	1953
766	6402	1944
767	6413	1937
768	6423	1929
769	6433	1921
770	6446	1914
771	6456	1906
772	6467	1899
773	6477	1891
774	6488	1883
775	6497	1875
776	6508	1867
777	6516	1859
778	6524	1851
779	6531	1842
780	6540	1833
781	6548	1825
782	6557	1817
783	6564	1808
784	6573	1800
785	6579	1791
786	6587	1782
787	6593	1773
788	6599	1764
789	6606	1756
790	6613	1747
791	6623	1739
792	6629	1730
793	6636	1721
794	6642	1712
795	6649	1704
796	6656	1695
797	6663	1686
798	6670	1678
799	6676	1669
800	6683	1660
801	6690	1651
802	6697	1643
803	6706	1634
804	6712	1626
805	6719	1617
806	6725	1608
807	6734	1600
808	6741	1591
809	6747	1582
810	6754	1574
811	6761	1565
812	6767	1556
813	6776	1548
814	6787	1540
815	6799	1533
816	6805	1524
817	6811	1515
818	6819	1507
819	6825	1498
820	6832	1489
821	6838	1480
822	6845	1472
823	6851	1463
824	6856	1454
825	6865	1446
826	6872	1437
827	6879	1429
828	6888	1420
829	6895	1412
830	6903	1404
831	6910	1395
832	6918	1386
833	6923	1378
834	6930	1369
835	6936	1360
836	6946	1352
837	6968	1347
838	7020	1347
839	7031	1339
840	7050	1332
841	7062	1325
842	7068	1316
843	7075	1307
844	7084	1299
845	7093	1291
846	7100	1282
847	7109	1274
848	7116	1265
849	7123	1257
850	7129	1248
851	7136	1239
852	7144	1231
853	7150	1222
854	7157	1213
855	7164	1205
856	7170	1196
857	7178	1187
858	7184	1179
859	7192	1170
860	7198	1162
861	7206	1153
862	7212	1144
863	7218	1136
864	7226	1127
865	7232	1119
866	7240	1110
867	7247	1102
868	7254	1093
869	7261	1084
870	7267	1076
871	7275	1068
872	7280	1059
873	7287	1050
874	7294	1042
875	7301	1033
876	7311	1025
877	7319	1017
878	7328	1008
879	7342	1001
880	7349	992
881	7358	984
882	7364	975
883	7371	967
884	7378	958
885	7387	950
886	7393	941
887	7400	933
888	7408	925
889	7415	916
