iter	MAE
0	1.60583117
1	1.565551047
2	1.5238022
3	1.482627652
4	1.442349907
5	1.404223878
6	1.367306899
7	1.332027374
8	1.29793229
9	1.264223541
10	1.233028804
11	1.200593731
12	1.169114288
13	1.139073491
14	1.110105972
15	1.082479076
16	1.053816633
17	1.026910131
18	1.001322795
19	0.9771703708
20	0.954786016
21	0.93016003
22	0.9086635056
23	0.8874970875
24	0.8657884144
25	0.8460185602
26	0.8269784274
27	0.8071402113
28	0.7892346327
29	0.7717237638
30	0.7544683085
31	0.7377481786
32	0.7198106354
33	0.7010140947
34	0.6864215043
35	0.6724082071
36	0.6601032982
37	0.6465597226
38	0.6341452537
39	0.6213610041
40	0.6070050434
41	0.5945076603
42	0.58383195
43	0.5719368207
44	0.5601799999
45	0.5504607776
46	0.5397180611
47	0.5305865171
48	0.5201100738
49	0.5106542483
50	0.502692026
51	0.4926299907
52	0.4837036402
53	0.473664256
54	0.466155648
55	0.4581542504
56	0.4492834355
57	0.4423110152
58	0.4361170689
59	0.4292083244
60	0.4222341344
61	0.4155414605
62	0.4090025117
63	0.4035245196
64	0.3985887917
65	0.3932892584
66	0.3873980742
67	0.3807822066
68	0.3749704729
69	0.3704949797
70	0.3663179962
71	0.3612925165
72	0.3573597389
73	0.3532709656
74	0.3502351952
75	0.3449513636
76	0.3414824177
77	0.3381402775
78	0.3342335268
79	0.3309830938
80	0.328231432
81	0.3253689076
82	0.322014929
83	0.3201443059
84	0.3162946912
85	0.3129713065
86	0.3107846502
87	0.3082556774
88	0.3042297908
89	0.30015326
90	0.2971779942
91	0.294729942
92	0.2916300629
93	0.2894764093
94	0.2873666818
95	0.2852207
96	0.2815637241
97	0.2782533485
98	0.2756228155
99	0.274364319
100	0.2723593007
101	0.2700305037
102	0.2678246287
103	0.2645071784
104	0.2621757707
105	0.2600014587
106	0.25793455
107	0.2556201807
108	0.2536545736
109	0.2509087701
110	0.2478574243
111	0.2470523908
112	0.2456762396
113	0.2432141596
114	0.2426548712
115	0.2416429522
116	0.2399319531
117	0.2388410987
118	0.2365640028
119	0.235397017
120	0.233627238
121	0.2314371453
122	0.2297155098
123	0.2274482192
124	0.2259739314
125	0.2241512464
126	0.222676035
127	0.2216428779
128	0.2201052146
129	0.2188755657
130	0.2174515934
131	0.2159282536
132	0.2147356958
133	0.2140549781
134	0.2127360119
135	0.2115779119
136	0.2104204685
137	0.209763663
138	0.2090803526
139	0.2082722587
140	0.2077635279
141	0.2064748359
142	0.2055791527
143	0.2045700211
144	0.2033246703
145	0.202838151
146	0.2020374871
147	0.2011518559
148	0.1999968107
149	0.1989283824
150	0.1978737668
151	0.1975046041
152	0.1972962066
153	0.196142977
154	0.1951380585
155	0.1942188191
156	0.1931881971
157	0.1918376953
158	0.191113373
159	0.1903806572
160	0.1901923692
161	0.1898724221
162	0.1890216443
163	0.1886846483
164	0.1883233293
165	0.188012934
166	0.1870532985
167	0.1868071178
168	0.1862928888
169	0.1860522304
170	0.1851568482
171	0.1847675958
172	0.1843922715
173	0.18399004
174	0.1830524275
175	0.1820176469
176	0.1809289228
177	0.1802639544
178	0.1794208933
179	0.1788470639
