DATE,DTWEXBGS
2010-01-01,92.8956750000000000
2010-01-08,92.2382400000000000
2010-01-15,91.6761200000000000
2010-01-22,92.5608500000000000
2010-01-29,93.3101000000000000
2010-02-05,93.9068800000000000
2010-02-12,93.9976000000000000
2010-02-19,93.7578000000000000
2010-02-26,93.9474000000000000
2010-03-05,93.3884400000000000
2010-03-12,93.0392400000000000
2010-03-19,92.7579200000000000
2010-03-26,93.4123800000000000
2010-04-02,93.0058200000000000
2010-04-09,92.6690400000000000
2010-04-16,92.2339600000000000
2010-04-23,92.6259200000000000
2010-04-30,92.9687000000000000
2010-05-07,94.4087800000000000
2010-05-14,94.6346600000000000
2010-05-21,96.2696800000000000
2010-05-28,96.8094400000000000
2010-06-04,96.7142750000000000
2010-06-11,96.9577200000000000
2010-06-18,95.5750600000000000
2010-06-25,95.3059800000000000
2010-07-02,95.7438400000000000
2010-07-09,94.9357000000000000
2010-07-16,94.4750000000000000
2010-07-23,94.3700400000000000
2010-07-30,93.6288400000000000
2010-08-06,92.6760000000000000
2010-08-13,93.5212600000000000
2010-08-20,93.7017600000000000
2010-08-27,94.4402800000000000
2010-09-03,94.2415600000000000
2010-09-10,93.8001500000000000
2010-09-17,92.8957600000000000
2010-09-24,92.2211200000000000
2010-10-01,91.2340600000000000
2010-10-08,90.4208200000000000
2010-10-15,89.8006250000000000
2010-10-22,90.2174400000000000
2010-10-29,90.2705200000000000
2010-11-05,89.5301000000000000
2010-11-12,89.8012000000000000
2010-11-19,90.7638200000000000
2010-11-26,91.2918000000000000
2010-12-03,91.6345800000000000
2010-12-10,91.2005800000000000
2010-12-17,91.1349000000000000
2010-12-24,91.4722750000000000
2010-12-31,90.8656500000000000
2011-01-07,90.5528400000000000
2011-01-14,90.4464400000000000
2011-01-21,89.8419500000000000
2011-01-28,89.6332400000000000
2011-02-04,89.3109000000000000
2011-02-11,89.4802600000000000
2011-02-18,89.6109800000000000
2011-02-25,89.3203250000000000
2011-03-04,88.7257200000000000
2011-03-11,88.6519400000000000
2011-03-18,88.6918200000000000
2011-03-25,88.1666600000000000
2011-04-01,88.1527800000000000
2011-04-08,87.5523000000000000
2011-04-15,87.1365600000000000
2011-04-22,86.7502400000000000
2011-04-29,86.0707800000000000
2011-05-06,86.0024600000000000
2011-05-13,86.9400400000000000
2011-05-20,87.3650000000000000
2011-05-27,87.5362000000000000
2011-06-03,86.6298250000000000
2011-06-10,86.6068600000000000
2011-06-17,87.1957600000000000
2011-06-24,87.1621800000000000
2011-07-01,86.8763200000000000
2011-07-08,86.5513250000000000
2011-07-15,86.7762800000000000
2011-07-22,86.2746000000000000
2011-07-29,85.7070200000000000
2011-08-05,86.4402600000000000
2011-08-12,87.2913800000000000
2011-08-19,86.7941000000000000
2011-08-26,87.0825400000000000
2011-09-02,86.9298200000000000
2011-09-09,88.3005000000000000
2011-09-16,89.2158000000000000
2011-09-23,90.7844000000000000
2011-09-30,91.3993400000000000
2011-10-07,92.1954800000000000
2011-10-14,90.5314750000000000
2011-10-21,90.5140000000000000
2011-10-28,89.4636600000000000
2011-11-04,90.1580800000000000
2011-11-11,90.5282750000000000
2011-11-18,91.1006200000000000
2011-11-25,92.4772250000000000
2011-12-02,91.7535200000000000
2011-12-09,91.3807400000000000
2011-12-16,92.7623400000000000
2011-12-23,92.5209400000000000
2011-12-30,92.6042750000000000
2012-01-06,92.2713000000000000
2012-01-13,92.4615600000000000
2012-01-20,91.6015500000000000
2012-01-27,90.8192200000000000
2012-02-03,90.1703800000000000
2012-02-10,89.7540000000000000
2012-02-17,90.1631000000000000
2012-02-24,90.0700250000000000
2012-03-02,89.8878400000000000
2012-03-09,90.4952200000000000
2012-03-16,90.6888400000000000
2012-03-23,90.6025400000000000
2012-03-30,90.4794000000000000
2012-04-06,90.6166200000000000
2012-04-13,91.0474400000000000
2012-04-20,90.9648200000000000
2012-04-27,90.7240000000000000
2012-05-04,90.6068200000000000
2012-05-11,91.5373800000000000
2012-05-18,92.7556600000000000
2012-05-25,93.5685600000000000
2012-06-01,94.3901250000000000
2012-06-08,94.2298800000000000
2012-06-15,93.8545200000000000
2012-06-22,93.4828000000000000
2012-06-29,93.7928600000000000
2012-07-06,93.1329000000000000
2012-07-13,93.6664000000000000
2012-07-20,93.2457800000000000
2012-07-27,93.7084800000000000
2012-08-03,92.9633600000000000
2012-08-10,92.5212000000000000
2012-08-17,92.6358400000000000
2012-08-24,92.3504000000000000
2012-08-31,92.3381400000000000
2012-09-07,91.8821500000000000
2012-09-14,90.9044400000000000
2012-09-21,90.5097000000000000
2012-09-28,90.8049000000000000
2012-10-05,90.5992000000000000
2012-10-12,90.7950750000000000
2012-10-19,90.5242400000000000
2012-10-26,91.0348400000000000
2012-11-02,91.1878666666666667
2012-11-09,91.4889200000000000
2012-11-16,91.8557500000000000
2012-11-23,91.5118500000000000
2012-11-30,91.2367800000000000
2012-12-07,91.0064200000000000
2012-12-14,90.8131600000000000
2012-12-21,90.6369800000000000
2012-12-28,91.0604000000000000
2013-01-04,90.9224250000000000
2013-01-11,90.8457400000000000
2013-01-18,90.6036800000000000
2013-01-25,90.9062000000000000
2013-02-01,90.9099800000000000
2013-02-08,91.0945600000000000
2013-02-15,91.3630000000000000
2013-02-22,91.8338250000000000
2013-03-01,92.3537800000000000
2013-03-08,92.5748750000000000
2013-03-15,92.3977600000000000
2013-03-22,92.3630200000000000
2013-03-29,92.3085000000000000
2013-04-05,92.1819600000000000
2013-04-12,91.9304600000000000
2013-04-19,92.0641200000000000
2013-04-26,92.2282800000000000
